Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,"(n = 1,662)","(n = 1,208)",(n = 454),"(n = 1,250)","(n = 1,036)",(n = 214),"(n = 2,295)","(n = 1,786)",(n = 509),"(n = 1,928)","(n = 1,560)",(n = 368)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Cartap hydrochloride,--,--,--,--,--,--,3.39,3.64,--,9.09,9.43,--
Betacypermethrin,1.82,1.89,--,2.17,2.22,--,--,--,--,3.64,3.77,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,--,--,--,7.27,7.55,--
Unidentified,--,--,--,--,--,--,6.78,7.27,--,--,--,--
BPMC,1.82,1.89,--,2.17,2.22,--,--,--,--,1.82,1.89,--
Esfenvalerate,1.82,1.89,--,2.17,2.22,--,--,--,--,1.82,1.89,--
Imazalil,5.45,5.66,--,--,--,--,--,--,--,--,--,--
MIPC,--,--,--,--,--,--,1.69,1.82,--,3.64,3.77,--
Chlorpyrifos + cypermthrin,--,--,--,4.35,4.44,--,--,--,--,--,--,--
Malathion,--,--,--,--,--,--,1.69,1.82,--,1.82,1.89,--
Diazinon,--,--,--,--,--,--,3.39,3.64,--,--,--,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,9.09,9.43,--,19.57,20,--,--,--,--,45.45,43.4,100
Niclosamide,7.27,7.55,--,4.35,4.44,--,--,--,--,14.55,15.09,--
Imazalil,1.82,--,50,--,--,--,--,--,--,--,--,--
Niclosamide ethanolamine salt,1.82,1.89,--,2.17,2.22,--,--,--,--,3.64,3.77,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,5.45,3.77,50,--,--,--,1.69,1.82,--,3.64,3.77,--
Coumatetralyl,1.82,1.89,--,--,--,--,3.39,3.64,--,--,--,--
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,--,--,--,22.03,20,50,--,--,--
Mancozeb,--,--,--,--,--,--,8.47,7.27,25,5.45,5.66,--
Copper hydroxide,--,--,--,--,--,--,8.47,9.09,--,3.64,3.77,--
